order_ID,date,product_ID,units_sold,selling_price,revenue,product_name,category,cost_price,stock_available,lead_time,supplier,daily_avg_sales,days_of_stock,total_sales_product,inventory_turnover,inventory_risk,reorder_point,reorder_flag
1014,2024-01-24,P033,3,261,783,Organic Rice 5kg,Grocery,158,468,8,Flipkart Wholesale,5.06,92.0,501,1.0,Low Risk,70.0,Sufficient
1015,2024-03-09,P045,6,503,3018,Hand Sanitizer,Personal Care,406,82,4,Reliance Retail Supply,5.06,16.0,536,7.0,Medium Risk,50.0,Sufficient
1016,2024-04-25,P014,6,340,2040,Sports Shoes,Clothing,199,301,4,Reliance Retail Supply,4.94,61.0,509,2.0,Low Risk,50.0,Sufficient
1017,2024-04-07,P008,4,501,2004,Smartphone Stand,Electronics,202,387,4,ITC Distribution Network,5.11,76.0,470,1.0,Low Risk,50.0,Sufficient
1018,2024-05-18,P008,2,501,1002,Smartphone Stand,Electronics,202,387,4,ITC Distribution Network,5.11,76.0,470,1.0,Low Risk,50.0,Sufficient
1019,2024-05-23,P027,9,594,5346,Lunch Box,Home & Kitchen,413,185,3,Amazon Wholesale India,5.18,36.0,440,2.0,Low Risk,46.0,Sufficient
1020,2024-04-06,P012,2,366,732,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
1021,2024-05-03,P001,3,418,1254,Wireless Mouse,Electronics,202,264,9,D-Mart Supply Services,5.05,52.0,475,2.0,Low Risk,75.0,Sufficient
1022,2024-03-10,P043,1,482,482,Shampoo Bottle,Personal Care,419,317,6,Reliance Retail Supply,4.84,65.0,489,2.0,Low Risk,59.0,Sufficient
1023,2024-04-02,P040,7,714,4998,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1024,2024-01-03,P042,1,620,620,Toothpaste,Personal Care,343,377,8,Aditya Birla Supply Chain,5.06,75.0,648,2.0,Low Risk,70.0,Sufficient
1025,2024-05-27,P011,9,532,4788,Men's Casual Shirt,Clothing,430,329,6,D-Mart Supply Services,5.04,65.0,524,2.0,Low Risk,60.0,Sufficient
1026,2024-06-12,P039,1,361,361,Instant Coffee,Grocery,150,77,7,Tata Consumer Distribution,4.94,16.0,583,8.0,Medium Risk,65.0,Sufficient
1027,2024-05-26,P043,5,482,2410,Shampoo Bottle,Personal Care,419,317,6,Reliance Retail Supply,4.84,65.0,489,2.0,Low Risk,59.0,Sufficient
1028,2024-03-30,P031,7,599,4193,Wall Clock,Home & Kitchen,444,441,8,BigBasket Vendor Network,4.97,89.0,487,1.0,Low Risk,70.0,Sufficient
1029,2024-05-26,P017,3,478,1434,Towel Set,Clothing,230,90,3,Metro Cash & Carry India,4.9,18.0,549,6.0,Medium Risk,45.0,Sufficient
1030,2024-05-27,P033,9,261,2349,Organic Rice 5kg,Grocery,158,468,8,Flipkart Wholesale,5.06,92.0,501,1.0,Low Risk,70.0,Sufficient
1031,2024-04-05,P032,8,201,1608,Office Chair,Home & Kitchen,148,212,9,Metro Cash & Carry India,4.76,45.0,452,2.0,Low Risk,73.0,Sufficient
1032,2024-02-21,P029,3,535,1605,Desk Organizer,Home & Kitchen,352,188,6,BigBasket Vendor Network,4.84,39.0,499,3.0,Low Risk,59.0,Sufficient
1033,2024-06-09,P021,5,527,2635,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1034,2024-06-16,P021,7,527,3689,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1035,2024-05-07,P040,4,714,2856,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1036,2024-02-08,P023,5,615,3075,Electric Kettle,Home & Kitchen,485,376,2,BigBasket Vendor Network,4.62,81.0,550,1.0,Low Risk,39.0,Sufficient
1037,2024-03-22,P006,3,351,1053,Gaming Headset,Electronics,288,257,7,Metro Cash & Carry India,4.56,56.0,483,2.0,Low Risk,62.0,Sufficient
1038,2024-04-13,P022,9,648,5832,Non-stick Frying Pan,Home & Kitchen,393,394,4,ITC Distribution Network,5.42,73.0,537,1.0,Low Risk,52.0,Sufficient
1039,2024-05-08,P038,9,367,3303,Tea Powder,Grocery,274,90,5,D-Mart Supply Services,5.05,18.0,505,6.0,Medium Risk,55.0,Sufficient
1040,2024-01-11,P037,7,556,3892,Salt Pack,Grocery,289,280,9,Flipkart Wholesale,5.01,56.0,501,2.0,Low Risk,75.0,Sufficient
1041,2024-06-26,P045,2,503,1006,Hand Sanitizer,Personal Care,406,82,4,Reliance Retail Supply,5.06,16.0,536,7.0,Medium Risk,50.0,Sufficient
1042,2024-05-30,P008,7,501,3507,Smartphone Stand,Electronics,202,387,4,ITC Distribution Network,5.11,76.0,470,1.0,Low Risk,50.0,Sufficient
1043,2024-06-07,P041,7,393,2751,Chocolate Box,Grocery,154,250,8,Reliance Retail Supply,5.61,45.0,488,2.0,Low Risk,75.0,Sufficient
1044,2024-02-11,P035,5,527,2635,Cooking Oil 1L,Grocery,287,428,5,Reliance Retail Supply,4.73,90.0,487,1.0,Low Risk,54.0,Sufficient
1045,2024-04-08,P011,9,532,4788,Men's Casual Shirt,Clothing,430,329,6,D-Mart Supply Services,5.04,65.0,524,2.0,Low Risk,60.0,Sufficient
1046,2024-01-07,P024,3,504,1512,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1047,2024-05-23,P021,4,527,2108,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1048,2024-03-30,P002,1,515,515,Mechanical Keyboard,Electronics,448,301,6,Amazon Wholesale India,5.13,59.0,600,2.0,Low Risk,61.0,Sufficient
1049,2024-04-21,P040,6,714,4284,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1050,2024-02-29,P019,4,465,1860,Pillow Cover,Clothing,408,64,8,Metro Cash & Carry India,5.28,12.0,533,8.0,High Risk,72.0,Reorder Needed
1051,2024-04-22,P039,1,361,361,Instant Coffee,Grocery,150,77,7,Tata Consumer Distribution,4.94,16.0,583,8.0,Medium Risk,65.0,Sufficient
1052,2024-01-02,P028,2,172,344,Coffee Mug,Home & Kitchen,121,112,5,Future Retail Suppliers,4.89,23.0,533,5.0,Medium Risk,54.0,Sufficient
1053,2024-05-08,P017,3,478,1434,Towel Set,Clothing,230,90,3,Metro Cash & Carry India,4.9,18.0,549,6.0,Medium Risk,45.0,Sufficient
1054,2024-02-17,P006,9,351,3159,Gaming Headset,Electronics,288,257,7,Metro Cash & Carry India,4.56,56.0,483,2.0,Low Risk,62.0,Sufficient
1055,2024-05-19,P019,8,465,3720,Pillow Cover,Clothing,408,64,8,Metro Cash & Carry India,5.28,12.0,533,8.0,High Risk,72.0,Reorder Needed
1056,2024-02-06,P038,7,367,2569,Tea Powder,Grocery,274,90,5,D-Mart Supply Services,5.05,18.0,505,6.0,Medium Risk,55.0,Sufficient
1057,2024-06-08,P028,4,172,688,Coffee Mug,Home & Kitchen,121,112,5,Future Retail Suppliers,4.89,23.0,533,5.0,Medium Risk,54.0,Sufficient
1058,2024-01-09,P002,1,515,515,Mechanical Keyboard,Electronics,448,301,6,Amazon Wholesale India,5.13,59.0,600,2.0,Low Risk,61.0,Sufficient
1059,2024-04-08,P038,8,367,2936,Tea Powder,Grocery,274,90,5,D-Mart Supply Services,5.05,18.0,505,6.0,Medium Risk,55.0,Sufficient
1060,2024-05-26,P037,4,556,2224,Salt Pack,Grocery,289,280,9,Flipkart Wholesale,5.01,56.0,501,2.0,Low Risk,75.0,Sufficient
1061,2024-02-17,P004,3,344,1032,USB-C Charger,Electronics,206,345,5,Tata Consumer Distribution,5.02,69.0,507,1.0,Low Risk,55.0,Sufficient
1062,2024-05-10,P022,9,648,5832,Non-stick Frying Pan,Home & Kitchen,393,394,4,ITC Distribution Network,5.42,73.0,537,1.0,Low Risk,52.0,Sufficient
1063,2024-05-27,P026,4,413,1652,Water Bottle,Home & Kitchen,260,178,3,Reliance Retail Supply,5.08,35.0,615,3.0,Low Risk,45.0,Sufficient
1064,2024-05-31,P043,4,482,1928,Shampoo Bottle,Personal Care,419,317,6,Reliance Retail Supply,4.84,65.0,489,2.0,Low Risk,59.0,Sufficient
1065,2024-02-23,P036,9,565,5085,Sugar 1kg,Grocery,370,310,6,Future Retail Suppliers,4.76,65.0,457,1.0,Low Risk,59.0,Sufficient
1066,2024-04-29,P013,2,605,1210,Denim Jeans,Clothing,472,266,7,D-Mart Supply Services,5.04,53.0,590,2.0,Low Risk,65.0,Sufficient
1067,2024-06-09,P032,5,201,1005,Office Chair,Home & Kitchen,148,212,9,Metro Cash & Carry India,4.76,45.0,452,2.0,Low Risk,73.0,Sufficient
1068,2024-05-31,P017,4,478,1912,Towel Set,Clothing,230,90,3,Metro Cash & Carry India,4.9,18.0,549,6.0,Medium Risk,45.0,Sufficient
1069,2024-04-25,P041,9,393,3537,Chocolate Box,Grocery,154,250,8,Reliance Retail Supply,5.61,45.0,488,2.0,Low Risk,75.0,Sufficient
1070,2024-03-15,P036,5,565,2825,Sugar 1kg,Grocery,370,310,6,Future Retail Suppliers,4.76,65.0,457,1.0,Low Risk,59.0,Sufficient
1071,2024-04-22,P046,9,298,2682,Face Wash,Personal Care,234,97,6,Reliance Retail Supply,5.28,18.0,491,5.0,Medium Risk,62.0,Sufficient
1072,2024-06-12,P019,9,465,4185,Pillow Cover,Clothing,408,64,8,Metro Cash & Carry India,5.28,12.0,533,8.0,High Risk,72.0,Reorder Needed
1073,2024-06-14,P035,2,527,1054,Cooking Oil 1L,Grocery,287,428,5,Reliance Retail Supply,4.73,90.0,487,1.0,Low Risk,54.0,Sufficient
1074,2024-04-13,P046,9,298,2682,Face Wash,Personal Care,234,97,6,Reliance Retail Supply,5.28,18.0,491,5.0,Medium Risk,62.0,Sufficient
1075,2024-03-24,P040,3,714,2142,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1076,2024-04-21,P028,4,172,688,Coffee Mug,Home & Kitchen,121,112,5,Future Retail Suppliers,4.89,23.0,533,5.0,Medium Risk,54.0,Sufficient
1077,2024-04-08,P001,1,418,418,Wireless Mouse,Electronics,202,264,9,D-Mart Supply Services,5.05,52.0,475,2.0,Low Risk,75.0,Sufficient
1078,2024-06-01,P042,1,620,620,Toothpaste,Personal Care,343,377,8,Aditya Birla Supply Chain,5.06,75.0,648,2.0,Low Risk,70.0,Sufficient
1079,2024-04-02,P018,1,470,470,Bed Sheet,Clothing,249,206,8,Flipkart Wholesale,4.76,43.0,595,3.0,Low Risk,68.0,Sufficient
1080,2024-05-25,P048,9,683,6147,Power Bank,Electronics,428,111,6,Tata Consumer Distribution,4.95,22.0,545,5.0,Medium Risk,60.0,Sufficient
1081,2024-05-07,P040,8,714,5712,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1082,2024-04-19,P033,5,261,1305,Organic Rice 5kg,Grocery,158,468,8,Flipkart Wholesale,5.06,92.0,501,1.0,Low Risk,70.0,Sufficient
1083,2024-03-22,P012,5,366,1830,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
1084,2024-02-23,P008,9,501,4509,Smartphone Stand,Electronics,202,387,4,ITC Distribution Network,5.11,76.0,470,1.0,Low Risk,50.0,Sufficient
1085,2024-06-11,P024,3,504,1512,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1086,2024-06-17,P016,3,488,1464,Sunglasses,Clothing,251,429,6,Metro Cash & Carry India,4.78,90.0,569,1.0,Low Risk,59.0,Sufficient
1087,2024-06-09,P004,7,344,2408,USB-C Charger,Electronics,206,345,5,Tata Consumer Distribution,5.02,69.0,507,1.0,Low Risk,55.0,Sufficient
1088,2024-03-08,P038,9,367,3303,Tea Powder,Grocery,274,90,5,D-Mart Supply Services,5.05,18.0,505,6.0,Medium Risk,55.0,Sufficient
1089,2024-02-02,P044,6,374,2244,Bath Soap,Personal Care,230,467,8,BigBasket Vendor Network,5.36,87.0,563,1.0,Low Risk,73.0,Sufficient
1090,2024-05-21,P027,2,594,1188,Lunch Box,Home & Kitchen,413,185,3,Amazon Wholesale India,5.18,36.0,440,2.0,Low Risk,46.0,Sufficient
1091,2024-01-21,P009,1,279,279,Laptop Backpack,Electronics,221,416,2,Flipkart Wholesale,5.18,80.0,534,1.0,Low Risk,40.0,Sufficient
1092,2024-02-17,P047,2,369,738,Mobile Charger,Electronics,120,456,5,Tata Consumer Distribution,4.73,96.0,478,1.0,Low Risk,54.0,Sufficient
1093,2024-05-27,P016,1,488,488,Sunglasses,Clothing,251,429,6,Metro Cash & Carry India,4.78,90.0,569,1.0,Low Risk,59.0,Sufficient
1094,2024-05-07,P012,9,366,3294,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
1095,2024-05-15,P031,8,599,4792,Wall Clock,Home & Kitchen,444,441,8,BigBasket Vendor Network,4.97,89.0,487,1.0,Low Risk,70.0,Sufficient
1096,2024-05-14,P024,7,504,3528,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1097,2024-05-24,P014,3,340,1020,Sports Shoes,Clothing,199,301,4,Reliance Retail Supply,4.94,61.0,509,2.0,Low Risk,50.0,Sufficient
1098,2024-05-07,P045,8,503,4024,Hand Sanitizer,Personal Care,406,82,4,Reliance Retail Supply,5.06,16.0,536,7.0,Medium Risk,50.0,Sufficient
1099,2024-02-02,P025,2,475,950,Rice Cooker,Home & Kitchen,376,393,8,Aditya Birla Supply Chain,5.05,78.0,530,1.0,Low Risk,70.0,Sufficient
1100,2024-06-24,P034,2,539,1078,Wheat Flour 10kg,Grocery,269,338,2,Reliance Retail Supply,5.09,66.0,529,2.0,Low Risk,40.0,Sufficient
1101,2024-04-24,P003,3,551,1653,Bluetooth Speaker,Electronics,370,239,4,ITC Distribution Network,5.26,45.0,494,2.0,Low Risk,51.0,Sufficient
1102,2024-04-28,P024,7,504,3528,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1103,2024-01-22,P042,1,620,620,Toothpaste,Personal Care,343,377,8,Aditya Birla Supply Chain,5.06,75.0,648,2.0,Low Risk,70.0,Sufficient
1104,2024-06-06,P009,8,279,2232,Laptop Backpack,Electronics,221,416,2,Flipkart Wholesale,5.18,80.0,534,1.0,Low Risk,40.0,Sufficient
1105,2024-02-07,P026,7,413,2891,Water Bottle,Home & Kitchen,260,178,3,Reliance Retail Supply,5.08,35.0,615,3.0,Low Risk,45.0,Sufficient
1106,2024-04-18,P020,4,581,2324,Blanket,Clothing,357,350,7,Amazon Wholesale India,4.96,71.0,526,2.0,Low Risk,65.0,Sufficient
1107,2024-02-20,P040,5,714,3570,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
1108,2024-01-08,P010,1,453,453,Fitness Tracker,Electronics,314,102,4,Future Retail Suppliers,4.72,22.0,472,5.0,Medium Risk,49.0,Sufficient
1109,2024-01-27,P019,4,465,1860,Pillow Cover,Clothing,408,64,8,Metro Cash & Carry India,5.28,12.0,533,8.0,High Risk,72.0,Reorder Needed
1110,2024-01-27,P003,1,551,551,Bluetooth Speaker,Electronics,370,239,4,ITC Distribution Network,5.26,45.0,494,2.0,Low Risk,51.0,Sufficient
1111,2024-01-21,P024,1,504,504,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1112,2024-01-30,P005,1,280,280,LED Monitor 24 inch,Electronics,171,262,9,Future Retail Suppliers,5.34,49.0,518,2.0,Low Risk,78.0,Sufficient
1113,2024-04-06,P003,7,551,3857,Bluetooth Speaker,Electronics,370,239,4,ITC Distribution Network,5.26,45.0,494,2.0,Low Risk,51.0,Sufficient
1114,2024-01-28,P027,7,594,4158,Lunch Box,Home & Kitchen,413,185,3,Amazon Wholesale India,5.18,36.0,440,2.0,Low Risk,46.0,Sufficient
1115,2024-04-20,P016,4,488,1952,Sunglasses,Clothing,251,429,6,Metro Cash & Carry India,4.78,90.0,569,1.0,Low Risk,59.0,Sufficient
1116,2024-03-01,P015,2,619,1238,Leather Wallet,Clothing,459,237,2,Reliance Retail Supply,5.06,47.0,531,2.0,Low Risk,40.0,Sufficient
1117,2024-02-17,P035,3,527,1581,Cooking Oil 1L,Grocery,287,428,5,Reliance Retail Supply,4.73,90.0,487,1.0,Low Risk,54.0,Sufficient
1118,2024-05-26,P012,8,366,2928,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
1119,2024-01-04,P041,8,393,3144,Chocolate Box,Grocery,154,250,8,Reliance Retail Supply,5.61,45.0,488,2.0,Low Risk,75.0,Sufficient
1120,2024-02-04,P044,6,374,2244,Bath Soap,Personal Care,230,467,8,BigBasket Vendor Network,5.36,87.0,563,1.0,Low Risk,73.0,Sufficient
1121,2024-02-18,P026,9,413,3717,Water Bottle,Home & Kitchen,260,178,3,Reliance Retail Supply,5.08,35.0,615,3.0,Low Risk,45.0,Sufficient
1122,2024-01-17,P047,9,369,3321,Mobile Charger,Electronics,120,456,5,Tata Consumer Distribution,4.73,96.0,478,1.0,Low Risk,54.0,Sufficient
1123,2024-06-20,P034,4,539,2156,Wheat Flour 10kg,Grocery,269,338,2,Reliance Retail Supply,5.09,66.0,529,2.0,Low Risk,40.0,Sufficient
1124,2024-06-06,P023,1,615,615,Electric Kettle,Home & Kitchen,485,376,2,BigBasket Vendor Network,4.62,81.0,550,1.0,Low Risk,39.0,Sufficient
1125,2024-02-15,P031,1,599,599,Wall Clock,Home & Kitchen,444,441,8,BigBasket Vendor Network,4.97,89.0,487,1.0,Low Risk,70.0,Sufficient
1126,2024-04-26,P020,5,581,2905,Blanket,Clothing,357,350,7,Amazon Wholesale India,4.96,71.0,526,2.0,Low Risk,65.0,Sufficient
1127,2024-01-06,P012,2,366,732,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
1128,2024-04-08,P023,6,615,3690,Electric Kettle,Home & Kitchen,485,376,2,BigBasket Vendor Network,4.62,81.0,550,1.0,Low Risk,39.0,Sufficient
1129,2024-05-03,P004,7,344,2408,USB-C Charger,Electronics,206,345,5,Tata Consumer Distribution,5.02,69.0,507,1.0,Low Risk,55.0,Sufficient
1130,2024-02-06,P023,1,615,615,Electric Kettle,Home & Kitchen,485,376,2,BigBasket Vendor Network,4.62,81.0,550,1.0,Low Risk,39.0,Sufficient
1131,2024-01-24,P048,6,683,4098,Power Bank,Electronics,428,111,6,Tata Consumer Distribution,4.95,22.0,545,5.0,Medium Risk,60.0,Sufficient
1132,2024-04-02,P048,8,683,5464,Power Bank,Electronics,428,111,6,Tata Consumer Distribution,4.95,22.0,545,5.0,Medium Risk,60.0,Sufficient
1133,2024-02-15,P001,5,418,2090,Wireless Mouse,Electronics,202,264,9,D-Mart Supply Services,5.05,52.0,475,2.0,Low Risk,75.0,Sufficient
1134,2024-04-04,P025,7,475,3325,Rice Cooker,Home & Kitchen,376,393,8,Aditya Birla Supply Chain,5.05,78.0,530,1.0,Low Risk,70.0,Sufficient
1135,2024-04-08,P002,6,515,3090,Mechanical Keyboard,Electronics,448,301,6,Amazon Wholesale India,5.13,59.0,600,2.0,Low Risk,61.0,Sufficient
1136,2024-04-25,P030,4,438,1752,Table Lamp,Home & Kitchen,335,130,4,ITC Distribution Network,5.13,25.0,487,4.0,Low Risk,51.0,Sufficient
1137,2024-06-08,P003,7,551,3857,Bluetooth Speaker,Electronics,370,239,4,ITC Distribution Network,5.26,45.0,494,2.0,Low Risk,51.0,Sufficient
1138,2024-06-09,P021,9,527,4743,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1139,2024-03-07,P025,7,475,3325,Rice Cooker,Home & Kitchen,376,393,8,Aditya Birla Supply Chain,5.05,78.0,530,1.0,Low Risk,70.0,Sufficient
1140,2024-05-07,P020,5,581,2905,Blanket,Clothing,357,350,7,Amazon Wholesale India,4.96,71.0,526,2.0,Low Risk,65.0,Sufficient
1141,2024-01-18,P022,7,648,4536,Non-stick Frying Pan,Home & Kitchen,393,394,4,ITC Distribution Network,5.42,73.0,537,1.0,Low Risk,52.0,Sufficient
1142,2024-01-25,P021,3,527,1581,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1143,2024-02-23,P033,2,261,522,Organic Rice 5kg,Grocery,158,468,8,Flipkart Wholesale,5.06,92.0,501,1.0,Low Risk,70.0,Sufficient
1144,2024-02-27,P038,5,367,1835,Tea Powder,Grocery,274,90,5,D-Mart Supply Services,5.05,18.0,505,6.0,Medium Risk,55.0,Sufficient
1145,2024-03-07,P015,4,619,2476,Leather Wallet,Clothing,459,237,2,Reliance Retail Supply,5.06,47.0,531,2.0,Low Risk,40.0,Sufficient
1146,2024-04-13,P046,5,298,1490,Face Wash,Personal Care,234,97,6,Reliance Retail Supply,5.28,18.0,491,5.0,Medium Risk,62.0,Sufficient
1147,2024-06-22,P015,8,619,4952,Leather Wallet,Clothing,459,237,2,Reliance Retail Supply,5.06,47.0,531,2.0,Low Risk,40.0,Sufficient
1148,2024-01-24,P046,4,298,1192,Face Wash,Personal Care,234,97,6,Reliance Retail Supply,5.28,18.0,491,5.0,Medium Risk,62.0,Sufficient
1149,2024-04-23,P025,9,475,4275,Rice Cooker,Home & Kitchen,376,393,8,Aditya Birla Supply Chain,5.05,78.0,530,1.0,Low Risk,70.0,Sufficient
1150,2024-02-01,P021,7,527,3689,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1151,2024-06-23,P024,7,504,3528,Mixer Grinder,Home & Kitchen,291,58,8,Metro Cash & Carry India,4.86,12.0,525,9.0,High Risk,69.0,Reorder Needed
1152,2024-03-26,P005,8,280,2240,LED Monitor 24 inch,Electronics,171,262,9,Future Retail Suppliers,5.34,49.0,518,2.0,Low Risk,78.0,Sufficient
1153,2024-05-30,P006,6,351,2106,Gaming Headset,Electronics,288,257,7,Metro Cash & Carry India,4.56,56.0,483,2.0,Low Risk,62.0,Sufficient
1154,2024-05-06,P043,8,482,3856,Shampoo Bottle,Personal Care,419,317,6,Reliance Retail Supply,4.84,65.0,489,2.0,Low Risk,59.0,Sufficient
1155,2024-06-03,P048,3,683,2049,Power Bank,Electronics,428,111,6,Tata Consumer Distribution,4.95,22.0,545,5.0,Medium Risk,60.0,Sufficient
1156,2024-05-09,P044,1,374,374,Bath Soap,Personal Care,230,467,8,BigBasket Vendor Network,5.36,87.0,563,1.0,Low Risk,73.0,Sufficient
1157,2024-01-17,P047,6,369,2214,Mobile Charger,Electronics,120,456,5,Tata Consumer Distribution,4.73,96.0,478,1.0,Low Risk,54.0,Sufficient
1158,2024-04-13,P023,1,615,615,Electric Kettle,Home & Kitchen,485,376,2,BigBasket Vendor Network,4.62,81.0,550,1.0,Low Risk,39.0,Sufficient
1159,2024-06-09,P004,9,344,3096,USB-C Charger,Electronics,206,345,5,Tata Consumer Distribution,5.02,69.0,507,1.0,Low Risk,55.0,Sufficient
1160,2024-05-16,P027,2,594,1188,Lunch Box,Home & Kitchen,413,185,3,Amazon Wholesale India,5.18,36.0,440,2.0,Low Risk,46.0,Sufficient
1161,2024-02-12,P018,2,470,940,Bed Sheet,Clothing,249,206,8,Flipkart Wholesale,4.76,43.0,595,3.0,Low Risk,68.0,Sufficient
1162,2024-06-24,P021,7,527,3689,Kitchen Knife Set,Home & Kitchen,443,114,8,D-Mart Supply Services,5.14,22.0,514,5.0,Medium Risk,71.0,Sufficient
1163,2024-02-08,P028,2,172,344,Coffee Mug,Home & Kitchen,121,112,5,Future Retail Suppliers,4.89,23.0,533,5.0,Medium Risk,54.0,Sufficient
1164,2024-06-18,P035,8,527,4216,Cooking Oil 1L,Grocery,287,428,5,Reliance Retail Supply,4.73,90.0,487,1.0,Low Risk,54.0,Sufficient
1165,2024-01-26,P022,6,648,3888,Non-stick Frying Pan,Home & Kitchen,393,394,4,ITC Distribution Network,5.42,73.0,537,1.0,Low Risk,52.0,Sufficient
1166,2024-04-08,P040,7,714,4998,Biscuits Pack,Grocery,463,184,6,Amazon Wholesale India,5.71,32.0,554,3.0,Low Risk,64.0,Sufficient
